eid,nid_s,nid_e,length,lanes,maxmph,type,edge_osmid,start_osm,end_osm,geometry
0,24,96,51.23662689904994,1,25,residential,12170390,110348357,110387946,"LINESTRING (-122.7088369 37.9005658,-122.7089076 37.9006585,-122.7089322 37.90069,-122.709149 37.9009552)"
1,96,24,51.23662689904994,1,25,residential,12170390,110387946,110348357,"LINESTRING (-122.709149 37.9009552,-122.7089322 37.90069,-122.7089076 37.9006585,-122.7088369 37.9005658)"
2,61,49,68.77375091946104,1,25,residential,12170827,110350999,279230067,"LINESTRING (-122.6868786 37.9079217,-122.6872289 37.9079568,-122.6874254 37.9080509,-122.6875361 37.9081832)"
3,49,61,68.77375091946104,1,25,residential,12170827,279230067,110350999,"LINESTRING (-122.6875361 37.9081832,-122.6874254 37.9080509,-122.6872289 37.9079568,-122.6868786 37.9079217)"
4,49,68,62.59212306067182,1,25,residential,12170827,279230067,110351008,"LINESTRING (-122.6875361 37.9081832,-122.687573 37.908212,-122.687695 37.908725)"
5,68,49,62.59212306067182,1,25,residential,12170827,110351008,279230067,"LINESTRING (-122.687695 37.908725,-122.687573 37.908212,-122.6875361 37.9081832)"
6,62,13,146.93717199400717,1,25,residential,12171742,110358680,3401274918,"LINESTRING (-122.7037716 37.9075842,-122.7038989 37.9075125,-122.7040795 37.9073131,-122.7040935 37.9071375,-122.7041691 37.9068976,-122.7042956 37.9067194,-122.7046289 37.9065275)"
7,13,62,146.93717199400717,1,25,residential,12171742,3401274918,110358680,"LINESTRING (-122.7046289 37.9065275,-122.7042956 37.9067194,-122.7041691 37.9068976,-122.7040935 37.9071375,-122.7040795 37.9073131,-122.7038989 37.9075125,-122.7037716 37.9075842)"
8,109,188,11.181294898035862,1,25,residential,12172378,110365447,110365449,"LINESTRING (-122.7085734 37.8981973,-122.7085122 37.8981091)"
9,188,109,11.181294898035862,1,25,residential,12172378,110365449,110365447,"LINESTRING (-122.7085122 37.8981091,-122.7085734 37.8981973)"
10,245,248,180.49520096259806,1,25,unclassified,12172644,110367725,110367728,"LINESTRING (-122.697367 37.9346398,-122.697465 37.9346211,-122.6992324 37.9342871,-122.6993673 37.9342581)"
11,248,245,180.49520096259806,1,25,unclassified,12172644,110367728,110367725,"LINESTRING (-122.6993673 37.9342581,-122.6992324 37.9342871,-122.697465 37.9346211,-122.697367 37.9346398)"
12,22,31,554.8796903852999,1,25,residential,12172661,110367804,110367827,"LINESTRING (-122.6919757 37.9156925,-122.693463 37.915239,-122.693875 37.915063,-122.693936 37.914842,-122.694013 37.914682,-122.694371 37.9146421,-122.694959 37.914377,-122.6952851 37.9141651,-122.6956975 37.9142111,-122.696073 37.914255,-122.696439 37.914186,-122.696729 37.914041,-122.69711 37.913827,-122.697396 37.913725)"
13,31,22,554.8796903853,1,25,residential,12172661,110367827,110367804,"LINESTRING (-122.697396 37.913725,-122.69711 37.913827,-122.696729 37.914041,-122.696439 37.914186,-122.696073 37.914255,-122.6956975 37.9142111,-122.6952851 37.9141651,-122.694959 37.914377,-122.694371 37.9146421,-122.694013 37.914682,-122.693936 37.914842,-122.693875 37.915063,-122.693463 37.915239,-122.6919757 37.9156925)"
14,230,232,96.55920374934013,1,25,residential,12175021,110381017,110381021,"LINESTRING (-122.6933953 37.9025985,-122.6935321 37.9029199,-122.6934892 37.9030235,-122.6930355 37.9032438)"
15,232,230,96.55920374934013,1,25,residential,12175021,110381021,110381017,"LINESTRING (-122.6930355 37.9032438,-122.6934892 37.9030235,-122.6935321 37.9029199,-122.6933953 37.9025985)"
16,14,15,194.41030641746212,1,25,residential,12175036,110381097,110381098,"LINESTRING (-122.7067593 37.9017504,-122.7080356 37.9031796)"
17,15,14,194.41030641746212,1,25,residential,12175036,110381098,110381097,"LINESTRING (-122.7080356 37.9031796,-122.7067593 37.9017504)"
18,214,85,125.89363025797981,1,25,residential,12175498,3367883696,110383326,"LINESTRING (-122.7020534 37.9079407,-122.7019232 37.9078144,-122.7016229 37.9074899,-122.7011858 37.9070391)"
19,85,214,125.89363025797981,1,25,residential,12175498,110383326,3367883696,"LINESTRING (-122.7011858 37.9070391,-122.7016229 37.9074899,-122.7019232 37.9078144,-122.7020534 37.9079407)"
20,85,88,391.06603084763583,1,25,residential,12175498,110383326,110383328,"LINESTRING (-122.7011858 37.9070391,-122.6986008 37.904174)"
21,88,85,391.06603084763583,1,25,residential,12175498,110383328,110383326,"LINESTRING (-122.6986008 37.904174,-122.7011858 37.9070391)"
22,88,91,196.4189782826513,1,25,residential,12175498,110383328,110383331,"LINESTRING (-122.6986008 37.904174,-122.6973092 37.9027312)"
23,91,88,196.4189782826513,1,25,residential,12175498,110383331,110383328,"LINESTRING (-122.6973092 37.9027312,-122.6986008 37.904174)"
24,91,92,202.82721554188893,1,25,residential,12175498,110383331,110383333,"LINESTRING (-122.6973092 37.9027312,-122.6966922 37.9020106,-122.696043 37.9012053)"
25,92,91,202.82721554188893,1,25,residential,12175498,110383333,110383331,"LINESTRING (-122.696043 37.9012053,-122.6966922 37.9020106,-122.6973092 37.9027312)"
26,159,252,142.68363884217445,1,25,residential,12175527,110372172,110383607,"LINESTRING (-122.6970842 37.9012713,-122.697413 37.9016974,-122.6979992 37.9023308)"
27,252,159,142.68363884217445,1,25,residential,12175527,110383607,110372172,"LINESTRING (-122.6979992 37.9023308,-122.697413 37.9016974,-122.6970842 37.9012713)"
28,252,253,199.35484650071055,1,25,residential,12175527,110383607,110383610,"LINESTRING (-122.6979992 37.9023308,-122.6993012 37.9038001)"
29,253,252,199.35484650071055,1,25,residential,12175527,110383610,110383607,"LINESTRING (-122.6993012 37.9038001,-122.6979992 37.9023308)"
30,253,254,388.2209117306112,1,25,residential,12175527,110383610,110383612,"LINESTRING (-122.6993012 37.9038001,-122.7018521 37.9066529)"
31,254,253,388.2209117306112,1,25,residential,12175527,110383612,110383610,"LINESTRING (-122.7018521 37.9066529,-122.6993012 37.9038001)"
32,254,207,232.6962056204644,1,25,residential,12175527,110383612,376840614,"LINESTRING (-122.7018521 37.9066529,-122.702863 37.9077594,-122.703347 37.90838)"
33,207,254,232.6962056204644,1,25,residential,12175527,376840614,110383612,"LINESTRING (-122.703347 37.90838,-122.702863 37.9077594,-122.7018521 37.9066529)"
34,239,241,54.63823837736062,1,25,residential,12175744,110385636,110385640,"LINESTRING (-122.6418768 37.9012446,-122.6421568 37.9008057)"
35,241,239,54.63823837736062,1,25,residential,12175744,110385640,110385636,"LINESTRING (-122.6421568 37.9008057,-122.6418768 37.9012446)"
36,100,102,79.59973599923342,1,25,residential,12176160,110387957,110387961,"LINESTRING (-122.7100985 37.9019771,-122.709596 37.901426,-122.709567 37.901397)"
37,102,100,79.59973599923342,1,25,residential,12176160,110387961,110387957,"LINESTRING (-122.709567 37.901397,-122.709596 37.901426,-122.7100985 37.9019771)"
38,24,105,46.809959764522105,1,25,residential,12176161,110348357,110387967,"LINESTRING (-122.7088369 37.9005658,-122.7092745 37.900325)"
39,105,24,46.809959764522105,1,25,residential,12176161,110387967,110348357,"LINESTRING (-122.7092745 37.900325,-122.7088369 37.9005658)"
40,105,139,31.213070764205934,1,25,residential,12176161,110387967,5071533350,"LINESTRING (-122.7092745 37.900325,-122.7094142 37.9002651,-122.7094604 37.9002318,-122.7095041 37.9001317)"
41,139,105,31.213070764205934,1,25,residential,12176161,5071533350,110387967,"LINESTRING (-122.7095041 37.9001317,-122.7094604 37.9002318,-122.7094142 37.9002651,-122.7092745 37.900325)"
42,89,90,76.75978849522096,1,25,residential,12176313,110388962,110388963,"LINESTRING (-122.706446 37.8980919,-122.705938 37.8975299)"
43,90,89,76.75978849522096,1,25,residential,12176313,110388963,110388962,"LINESTRING (-122.705938 37.8975299,-122.706446 37.8980919)"
44,90,95,168.55321225368783,1,25,residential,12176313,110388963,110388965,"LINESTRING (-122.705938 37.8975299,-122.7048603 37.8962751)"
45,95,90,168.55321225368783,1,25,residential,12176313,110388965,110388963,"LINESTRING (-122.7048603 37.8962751,-122.705938 37.8975299)"
46,95,94,125.59675712403423,1,25,residential,12176313,110388965,110388967,"LINESTRING (-122.7048603 37.8962751,-122.7040513 37.8953433)"
47,94,95,125.59675712403423,1,25,residential,12176313,110388967,110388965,"LINESTRING (-122.7040513 37.8953433,-122.7048603 37.8962751)"
48,124,127,75.68854388180934,1,25,residential,12176817,110392598,110392600,"LINESTRING (-122.6952332 37.9038651,-122.6959372 37.9034717)"
49,127,124,75.68854388180934,1,25,residential,12176817,110392600,110392598,"LINESTRING (-122.6959372 37.9034717,-122.6952332 37.9038651)"
50,127,128,72.95844898091326,1,25,residential,12176817,110392600,110392602,"LINESTRING (-122.6959372 37.9034717,-122.6966176 37.9030945)"
51,128,127,72.95844898091326,1,25,residential,12176817,110392602,110392600,"LINESTRING (-122.6966176 37.9030945,-122.6959372 37.9034717)"
52,128,91,72.8971713758406,1,25,residential,12176817,110392602,110383331,"LINESTRING (-122.6966176 37.9030945,-122.6973092 37.9027312)"
53,91,128,72.8971713758406,1,25,residential,12176817,110383331,110392602,"LINESTRING (-122.6973092 37.9027312,-122.6966176 37.9030945)"
54,91,252,75.14878544390409,1,25,residential,12176817,110383331,110383607,"LINESTRING (-122.6973092 37.9027312,-122.6979992 37.9023308)"
55,252,91,75.14878544390409,1,25,residential,12176817,110383607,110383331,"LINESTRING (-122.6979992 37.9023308,-122.6973092 37.9027312)"
56,252,129,68.02533122845709,1,25,residential,12176817,110383607,110392604,"LINESTRING (-122.6979992 37.9023308,-122.6986175 37.9019617)"
57,129,252,68.02533122845709,1,25,residential,12176817,110392604,110383607,"LINESTRING (-122.6986175 37.9019617,-122.6979992 37.9023308)"
58,129,130,75.77115598698424,1,25,residential,12176817,110392604,110392606,"LINESTRING (-122.6986175 37.9019617,-122.6993276 37.9015739)"
59,130,129,75.77115598698424,1,25,residential,12176817,110392606,110392604,"LINESTRING (-122.6993276 37.9015739,-122.6986175 37.9019617)"
60,130,162,77.04025458884284,1,25,residential,12176817,110392606,110392609,"LINESTRING (-122.6993276 37.9015739,-122.7000367 37.9011653)"
61,162,130,77.04025458884284,1,25,residential,12176817,110392609,110392606,"LINESTRING (-122.7000367 37.9011653,-122.6993276 37.9015739)"
62,162,164,74.45396131904288,1,25,residential,12176817,110392609,110392611,"LINESTRING (-122.7000367 37.9011653,-122.7007352 37.9007851)"
63,164,162,74.45396131904288,1,25,residential,12176817,110392611,110392609,"LINESTRING (-122.7007352 37.9007851,-122.7000367 37.9011653)"
64,164,170,73.08162951687584,1,25,residential,12176817,110392611,110392614,"LINESTRING (-122.7007352 37.9007851,-122.7014086 37.9003983)"
65,170,164,73.08162951687584,1,25,residential,12176817,110392614,110392611,"LINESTRING (-122.7014086 37.9003983,-122.7007352 37.9007851)"
66,170,142,74.1550569057451,1,25,residential,12176817,110392614,110392617,"LINESTRING (-122.7014086 37.9003983,-122.7020968 37.9000112)"
67,142,170,74.1550569057451,1,25,residential,12176817,110392617,110392614,"LINESTRING (-122.7020968 37.9000112,-122.7014086 37.9003983)"
68,142,151,74.54238692650299,1,25,residential,12176817,110392617,110392620,"LINESTRING (-122.7020968 37.9000112,-122.7027905 37.8996242)"
69,151,142,74.54238692650299,1,25,residential,12176817,110392620,110392617,"LINESTRING (-122.7027905 37.8996242,-122.7020968 37.9000112)"
70,151,146,70.33275542865199,1,25,residential,12176817,110392620,110392622,"LINESTRING (-122.7027905 37.8996242,-122.7034387 37.8992521)"
71,146,151,70.33275542865199,1,25,residential,12176817,110392622,110392620,"LINESTRING (-122.7034387 37.8992521,-122.7027905 37.8996242)"
72,146,149,74.01527573129165,1,25,residential,12176817,110392622,110392625,"LINESTRING (-122.7034387 37.8992521,-122.7041118 37.8988509)"
73,149,146,74.01527573129165,1,25,residential,12176817,110392625,110392622,"LINESTRING (-122.7041118 37.8988509,-122.7034387 37.8992521)"
74,149,48,73.08623063494973,1,25,residential,12176817,110392625,110366323,"LINESTRING (-122.7041118 37.8988509,-122.7045225 37.898604,-122.7047833 37.8984623)"
75,48,149,73.08623063494973,1,25,residential,12176817,110366323,110392625,"LINESTRING (-122.7047833 37.8984623,-122.7045225 37.898604,-122.7041118 37.8988509)"
76,48,152,75.65980758576684,1,25,residential,12176817,110366323,110392630,"LINESTRING (-122.7047833 37.8984623,-122.7052506 37.8982643,-122.7055634 37.8981768)"
77,152,48,75.65980758576684,1,25,residential,12176817,110392630,110366323,"LINESTRING (-122.7055634 37.8981768,-122.7052506 37.8982643,-122.7047833 37.8984623)"
78,152,89,78.01646300582763,1,25,residential,12176817,110392630,110388962,"LINESTRING (-122.7055634 37.8981768,-122.706446 37.8980919)"
79,89,152,78.01646300582763,1,25,residential,12176817,110388962,110392630,"LINESTRING (-122.706446 37.8980919,-122.7055634 37.8981768)"
80,89,153,148.00261785236427,1,25,residential,12176817,110388962,110392632,"LINESTRING (-122.706446 37.8980919,-122.7069236 37.8980279,-122.7072189 37.8979638,-122.7076457 37.897841,-122.7080456 37.8976929)"
81,153,89,148.00261785236427,1,25,residential,12176817,110392632,110388962,"LINESTRING (-122.7080456 37.8976929,-122.7076457 37.897841,-122.7072189 37.8979638,-122.7069236 37.8980279,-122.706446 37.8980919)"
82,153,57,35.71904651174203,1,25,residential,12176817,110392632,110406281,"LINESTRING (-122.7080456 37.8976929,-122.708391 37.8975229)"
83,57,153,35.71904651174203,1,25,residential,12176817,110406281,110392632,"LINESTRING (-122.708391 37.8975229,-122.7080456 37.8976929)"
84,57,154,48.12086781093272,1,25,residential,12176817,110406281,110392637,"LINESTRING (-122.708391 37.8975229,-122.7084431 37.8974972,-122.7088576 37.8972955)"
85,154,57,48.12086781093272,1,25,residential,12176817,110392637,110406281,"LINESTRING (-122.7088576 37.8972955,-122.7084431 37.8974972,-122.708391 37.8975229)"
86,26,208,159.93109949393136,1,25,residential,12176844,110348362,110392830,"LINESTRING (-122.7105091 37.8990511,-122.7105613 37.8996395,-122.7105822 37.8998896,-122.7105471 37.9000442,-122.7105602 37.9001608,-122.7107816 37.9004333)"
87,208,26,159.9310994939314,1,25,residential,12176844,110392830,110348362,"LINESTRING (-122.7107816 37.9004333,-122.7105602 37.9001608,-122.7105471 37.9000442,-122.7105822 37.8998896,-122.7105613 37.8996395,-122.7105091 37.8990511)"
88,208,1,104.62462947254944,1,25,residential,12176844,110392830,110392834,"LINESTRING (-122.7107816 37.9004333,-122.711072 37.900851,-122.7114504 37.9012068)"
89,1,208,104.62462947254944,1,25,residential,12176844,110392834,110392830,"LINESTRING (-122.7114504 37.9012068,-122.711072 37.900851,-122.7107816 37.9004333)"
90,98,67,49.40186651885676,1,25,residential,12176999,110386925,110394015,"LINESTRING (-122.6845462 37.9056819,-122.68459 37.9057922,-122.6845696 37.9061205)"
91,67,98,49.40186651885676,1,25,residential,12176999,110394015,110386925,"LINESTRING (-122.6845696 37.9061205,-122.68459 37.9057922,-122.6845462 37.9056819)"
92,178,181,111.26576086947114,1,25,residential,12177408,110397820,110397823,"LINESTRING (-122.6432263 37.9034263,-122.6442955 37.9030905,-122.6443479 37.9030533,-122.644381 37.9030271)"
93,181,178,111.26576086947115,1,25,residential,12177408,110397823,110397820,"LINESTRING (-122.644381 37.9030271,-122.6443479 37.9030533,-122.6442955 37.9030905,-122.6432263 37.9034263)"
94,27,151,122.9169994177762,1,25,residential,12177435,110398027,110392620,"LINESTRING (-122.7036364 37.9005042,-122.7034567 37.9003464,-122.703207 37.9000731,-122.7027905 37.8996242)"
95,151,27,122.9169994177762,1,25,residential,12177435,110392620,110398027,"LINESTRING (-122.7027905 37.8996242,-122.703207 37.9000731,-122.7034567 37.9003464,-122.7036364 37.9005042)"
96,151,28,155.9882529446719,1,25,residential,12177435,110392620,110398029,"LINESTRING (-122.7027905 37.8996242,-122.7017863 37.8984666)"
97,28,151,155.9882529446719,1,25,residential,12177435,110398029,110392620,"LINESTRING (-122.7017863 37.8984666,-122.7027905 37.8996242)"
98,30,33,193.8968133806247,1,25,residential,12177437,110398034,110398036,"LINESTRING (-122.7066764 37.9039538,-122.7053821 37.9025404)"
99,33,30,193.8968133806247,1,25,residential,12177437,110398036,110398034,"LINESTRING (-122.7053821 37.9025404,-122.7066764 37.9039538)"
100,33,250,186.78759691699003,1,25,residential,12177437,110398036,312072177,"LINESTRING (-122.7053821 37.9025404,-122.7048976 37.9020044,-122.7044185 37.9014918,-122.7043642 37.9013681,-122.7043775 37.9011147)"
101,250,33,186.78759691699003,1,25,residential,12177437,312072177,110398036,"LINESTRING (-122.7043775 37.9011147,-122.7043642 37.9013681,-122.7044185 37.9014918,-122.7048976 37.9020044,-122.7053821 37.9025404)"
102,194,192,145.17649892422043,1,25,residential,12177573,1695486863,110398861,"LINESTRING (-122.6435402 37.8999041,-122.6435683 37.8998708,-122.6444569 37.8988172)"
103,192,194,145.17649892422043,1,25,residential,12177573,110398861,1695486863,"LINESTRING (-122.6444569 37.8988172,-122.6435683 37.8998708,-122.6435402 37.8999041)"
104,131,1,41.29382843193542,1,25,residential,12177905,110401311,110392834,"LINESTRING (-122.7118326 37.9009901,-122.7114504 37.9012068)"
105,1,131,41.29382843193542,1,25,residential,12177905,110392834,110401311,"LINESTRING (-122.7114504 37.9012068,-122.7118326 37.9009901)"
106,1,100,146.30884942583234,1,25,residential,12177905,110392834,110387957,"LINESTRING (-122.7114504 37.9012068,-122.7100985 37.9019771)"
107,100,1,146.30884942583234,1,25,residential,12177905,110387957,110392834,"LINESTRING (-122.7100985 37.9019771,-122.7114504 37.9012068)"
108,100,15,225.06656746557442,1,25,residential,12177905,110387957,110381098,"LINESTRING (-122.7100985 37.9019771,-122.7093628 37.9024276,-122.7080356 37.9031796)"
109,15,100,225.06656746557442,1,25,residential,12177905,110381098,110387957,"LINESTRING (-122.7080356 37.9031796,-122.7093628 37.9024276,-122.7100985 37.9019771)"
110,15,30,147.08105989952884,1,25,residential,12177905,110381098,110398034,"LINESTRING (-122.7080356 37.9031796,-122.7073131 37.903595,-122.7066764 37.9039538)"
111,30,15,147.08105989952884,1,25,residential,12177905,110398034,110381098,"LINESTRING (-122.7066764 37.9039538,-122.7073131 37.903595,-122.7080356 37.9031796)"
112,30,121,73.04995494554724,1,25,residential,12177905,110398034,110401299,"LINESTRING (-122.7066764 37.9039538,-122.7059974 37.904334)"
113,121,30,73.04995494554724,1,25,residential,12177905,110401299,110398034,"LINESTRING (-122.7059974 37.904334,-122.7066764 37.9039538)"
114,121,118,225.03966542987675,1,25,residential,12177905,110401299,110401292,"LINESTRING (-122.7059974 37.904334,-122.7049304 37.9049421,-122.7039141 37.9055146)"
115,118,121,225.03966542987675,1,25,residential,12177905,110401292,110401299,"LINESTRING (-122.7039141 37.9055146,-122.7049304 37.9049421,-122.7059974 37.904334)"
116,118,113,75.43108092817562,1,25,residential,12177905,110401292,110401290,"LINESTRING (-122.7039141 37.9055146,-122.7032093 37.9059031)"
117,113,118,75.43108092817562,1,25,residential,12177905,110401290,110401292,"LINESTRING (-122.7032093 37.9059031,-122.7039141 37.9055146)"
118,113,240,72.01084053427685,1,25,residential,12177905,110401290,110401288,"LINESTRING (-122.7032093 37.9059031,-122.7025378 37.9062755)"
119,240,113,72.01084053427685,1,25,residential,12177905,110401288,110401290,"LINESTRING (-122.7025378 37.9062755,-122.7032093 37.9059031)"
120,240,254,73.3500130954798,1,25,residential,12177905,110401288,110383612,"LINESTRING (-122.7025378 37.9062755,-122.7018521 37.9066529)"
121,254,240,73.3500130954798,1,25,residential,12177905,110383612,110401288,"LINESTRING (-122.7018521 37.9066529,-122.7025378 37.9062755)"
122,254,85,72.53538030005302,1,25,residential,12177905,110383612,110383326,"LINESTRING (-122.7018521 37.9066529,-122.7011858 37.9070391)"
123,85,254,72.53538030005302,1,25,residential,12177905,110383326,110383612,"LINESTRING (-122.7011858 37.9070391,-122.7018521 37.9066529)"
124,85,108,75.2966991368318,1,25,residential,12177905,110383326,110401286,"LINESTRING (-122.7011858 37.9070391,-122.7004932 37.907439)"
125,108,85,75.2966991368318,1,25,residential,12177905,110401286,110383326,"LINESTRING (-122.7004932 37.907439,-122.7011858 37.9070391)"
126,108,107,70.77064132162545,1,25,residential,12177905,110401286,110401284,"LINESTRING (-122.7004932 37.907439,-122.6998374 37.9078096)"
127,107,108,70.77064132162545,1,25,residential,12177905,110401284,110401286,"LINESTRING (-122.6998374 37.9078096,-122.7004932 37.907439)"
128,107,106,76.08383016530844,1,25,residential,12177905,110401284,110401282,"LINESTRING (-122.6998374 37.9078096,-122.6991121 37.9081847)"
129,106,107,76.08383016530844,1,25,residential,12177905,110401282,110401284,"LINESTRING (-122.6991121 37.9081847,-122.6998374 37.9078096)"
130,98,16,414.9305382855153,1,25,residential,12178039,110386925,110366250,"LINESTRING (-122.6845462 37.9056819,-122.6846667 37.9056601,-122.6848088 37.9056975,-122.6848095 37.905945,-122.6848385 37.9062153,-122.6849446 37.906327,-122.68498 37.9064415,-122.6849877 37.9066334,-122.6850433 37.906731,-122.6851412 37.906837,-122.6851772 37.9069795,-122.6852385 37.9070821,-122.6853363 37.9070611,-122.68533 37.906885,-122.685238 37.906587,-122.685314 37.906289,-122.6854629 37.9054919,-122.6854024 37.9053581,-122.6852611 37.9052677,-122.685282 37.9051766)"
131,23,16,66.8775516765817,1,25,residential,12178040,110402623,110366250,"LINESTRING (-122.6860421 37.905133,-122.68559 37.905153,-122.685282 37.9051766)"
132,16,23,66.8775516765817,1,25,residential,12178040,110366250,110402623,"LINESTRING (-122.685282 37.9051766,-122.68559 37.905153,-122.6860421 37.905133)"
133,34,35,41.633230619872315,1,25,residential,12178622,110407254,110407256,"LINESTRING (-122.702463 37.8981127,-122.7021971 37.8978026)"
134,35,34,41.633230619872315,1,25,residential,12178622,110407256,110407254,"LINESTRING (-122.7021971 37.8978026,-122.702463 37.8981127)"
135,35,36,104.54750041853069,1,25,residential,12178622,110407256,110407258,"LINESTRING (-122.7021971 37.8978026,-122.7015159 37.8970312)"
136,36,35,104.54750041853069,1,25,residential,12178622,110407258,110407256,"LINESTRING (-122.7015159 37.8970312,-122.7021971 37.8978026)"
137,146,161,90.00048219073273,1,25,residential,12178623,110392622,110348621,"LINESTRING (-122.7034387 37.8992521,-122.7028773 37.8985747)"
138,161,146,90.00048219073273,1,25,residential,12178623,110348621,110392622,"LINESTRING (-122.7028773 37.8985747,-122.7034387 37.8992521)"
139,115,50,64.03805774232077,1,25,residential,12179209,110409997,368380535,"LINESTRING (-122.6426659 37.9015072,-122.642727 37.9014287,-122.6428648 37.9012842,-122.6430131 37.9011699,-122.6431579 37.9010901)"
140,50,115,64.03805774232077,1,25,residential,12179209,368380535,110409997,"LINESTRING (-122.6431579 37.9010901,-122.6430131 37.9011699,-122.6428648 37.9012842,-122.642727 37.9014287,-122.6426659 37.9015072)"
141,166,169,33.83330109411788,1,25,residential,12179237,110410083,110410086,"LINESTRING (-122.6518636 37.9037218,-122.6520586 37.9034593)"
142,169,166,33.83330109411788,1,25,residential,12179237,110410086,110410083,"LINESTRING (-122.6520586 37.9034593,-122.6518636 37.9037218)"
143,212,124,193.4133696600061,1,25,residential,12179381,110410670,110392598,"LINESTRING (-122.6939738 37.9024375,-122.6952332 37.9038651)"
144,124,212,193.4133696600061,1,25,residential,12179381,110392598,110410670,"LINESTRING (-122.6952332 37.9038651,-122.6939738 37.9024375)"
145,124,216,199.17274161071091,1,25,residential,12179381,110392598,110410673,"LINESTRING (-122.6952332 37.9038651,-122.6963431 37.9051,-122.6965444 37.9053273)"
146,216,124,199.17274161071091,1,25,residential,12179381,110410673,110392598,"LINESTRING (-122.6965444 37.9053273,-122.6963431 37.9051,-122.6952332 37.9038651)"
147,216,106,389.4869367144575,1,25,residential,12179381,110410673,110401282,"LINESTRING (-122.6965444 37.9053273,-122.6991121 37.9081847)"
148,106,216,389.4869367144575,1,25,residential,12179381,110401282,110410673,"LINESTRING (-122.6991121 37.9081847,-122.6965444 37.9053273)"
149,106,122,160.63605670835986,1,25,residential,12179381,110401282,110382867,"LINESTRING (-122.6991121 37.9081847,-122.6998371 37.9089831,-122.7001386 37.9093797)"
150,122,106,160.63605670835986,1,25,residential,12179381,110382867,110401282,"LINESTRING (-122.7001386 37.9093797,-122.6998371 37.9089831,-122.6991121 37.9081847)"
151,217,220,120.76080173807676,1,25,residential,12179836,110412211,110412215,"LINESTRING (-122.6523701 37.903995,-122.653257 37.9031645)"
152,220,217,120.76080173807676,1,25,residential,12179836,110412215,110412211,"LINESTRING (-122.653257 37.9031645,-122.6523701 37.903995)"
153,244,251,40.83694261978378,1,25,residential,12179861,110412268,110412270,"LINESTRING (-122.7053375 37.8956069,-122.7055406 37.8958612,-122.7055174 37.8959253)"
154,251,244,40.83694261978378,1,25,residential,12179861,110412270,110412268,"LINESTRING (-122.7055174 37.8959253,-122.7055406 37.8958612,-122.7053375 37.8956069)"
155,251,249,69.65891889753671,1,25,residential,12179861,110412270,110412273,"LINESTRING (-122.7055174 37.8959253,-122.7056451 37.8959711,-122.7059124 37.8963057,-122.7060601 37.8963352)"
156,249,251,69.65891889753671,1,25,residential,12179861,110412273,110412270,"LINESTRING (-122.7060601 37.8963352,-122.7059124 37.8963057,-122.7056451 37.8959711,-122.7055174 37.8959253)"
157,10,26,102.41298571156028,1,25,residential,12179965,312072227,110348362,"LINESTRING (-122.7105085 37.8982007,-122.7103687 37.8983239,-122.7103095 37.8985119,-122.710386 37.898745,-122.7105091 37.8990511)"
158,26,10,102.41298571156028,1,25,residential,12179965,110348362,312072227,"LINESTRING (-122.7105091 37.8990511,-122.710386 37.898745,-122.7103095 37.8985119,-122.7103687 37.8983239,-122.7105085 37.8982007)"
159,195,208,115.43375111143247,1,25,residential,12180098,110412690,110392830,"LINESTRING (-122.711867 37.8999101,-122.7116435 37.8999098,-122.7115326 37.8999475,-122.7111266 37.9002214,-122.7107816 37.9004333)"
160,208,195,115.43375111143247,1,25,residential,12180098,110392830,110412690,"LINESTRING (-122.7107816 37.9004333,-122.7111266 37.9002214,-122.7115326 37.8999475,-122.7116435 37.8999098,-122.711867 37.8999101)"
161,202,63,519.9949418675354,1,25,residential,12180142,110393241,110413465,"LINESTRING (-122.6865835 37.9094266,-122.6860323 37.9095746,-122.6856969 37.9096772,-122.6854304 37.9097989,-122.6851401 37.909975,-122.6850483 37.910058,-122.6848914 37.9101593,-122.6847474 37.9102545,-122.6846448 37.9102571,-122.6839906 37.9101087,-122.6836234 37.9100756,-122.683037 37.9100234,-122.6829607 37.9099639,-122.6828197 37.9098228,-122.6826756 37.9096735,-122.6825573 37.9094971,-122.682353 37.909,-122.6822799 37.9088066,-122.6822348 37.9085775)"
162,63,202,519.9949418675354,1,25,residential,12180142,110413465,110393241,"LINESTRING (-122.6822348 37.9085775,-122.6822799 37.9088066,-122.682353 37.909,-122.6825573 37.9094971,-122.6826756 37.9096735,-122.6828197 37.9098228,-122.6829607 37.9099639,-122.683037 37.9100234,-122.6836234 37.9100756,-122.6839906 37.9101087,-122.6846448 37.9102571,-122.6847474 37.9102545,-122.6848914 37.9101593,-122.6850483 37.910058,-122.6851401 37.909975,-122.6854304 37.9097989,-122.6856969 37.9096772,-122.6860323 37.9095746,-122.6865835 37.9094266)"
163,58,59,76.63582692737243,1,25,residential,12180457,110414475,110414478,"LINESTRING (-122.7079814 37.9019043,-122.7074574 37.9013529)"
164,59,58,76.63582692737243,1,25,residential,12180457,110414478,110414475,"LINESTRING (-122.7074574 37.9013529,-122.7079814 37.9019043)"
165,59,60,59.38513355670447,1,25,residential,12180457,110414478,110414480,"LINESTRING (-122.7074574 37.9013529,-122.7070572 37.9009222)"
166,60,59,59.38513355670447,1,25,residential,12180457,110414480,110414478,"LINESTRING (-122.7070572 37.9009222,-122.7074574 37.9013529)"
