eid,nid_s,nid_e,length,lanes,maxmph,type,edge_osmid,start_osm,end_osm,geometry
500,211,204,156.99659345570524,1,25,residential,331614732,3387083180,3387083166,"LINESTRING (-122.7010777 37.9175063,-122.7009613 37.9173802,-122.700913 37.9172702,-122.7008916 37.9171559,-122.7009007 37.9170577,-122.7009774 37.9169443,-122.7011223 37.9168174,-122.7012387 37.9167023,-122.7014924 37.9162672)"
501,213,206,72.09381162975811,1,25,residential,331614733,3387083182,3387083171,"LINESTRING (-122.7016319 37.9157805,-122.7017499 37.9159159,-122.7018609 37.9159786,-122.7021361 37.916081,-122.7022756 37.9161614)"
502,206,213,72.09381162975811,1,25,residential,331614733,3387083171,3387083182,"LINESTRING (-122.7022756 37.9161614,-122.7021361 37.916081,-122.7018609 37.9159786,-122.7017499 37.9159159,-122.7016319 37.9157805)"
503,51,182,250.47340023567884,1,25,residential,352172753,110408826,110401408,"LINESTRING (-122.6406603 37.9007377,-122.640768 37.9006853,-122.640852 37.9006322,-122.6409312 37.9005692,-122.6409905 37.9004942,-122.6410192 37.9004163,-122.6410263 37.9003526,-122.6409976 37.8999292,-122.6409815 37.8998457,-122.6409438 37.8997579,-122.6408792 37.899697,-122.6407949 37.8996546,-122.6395992 37.8993679)"
504,182,221,60.91160839837418,1,25,residential,352172753,110401408,110430648,"LINESTRING (-122.6395992 37.8993679,-122.6389055 37.899347)"
505,227,39,84.84303729978555,1,25,residential,352172757,110430661,110371424,"LINESTRING (-122.638349 37.9011661,-122.6392956 37.9010103)"
506,39,227,84.84303729978555,1,25,residential,352172757,110371424,110430661,"LINESTRING (-122.6392956 37.9010103,-122.638349 37.9011661)"
507,39,51,123.55564160237483,1,25,residential,352172757,110371424,110408826,"LINESTRING (-122.6392956 37.9010103,-122.6403495 37.9008118,-122.6406603 37.9007377)"
508,51,39,123.55564160237483,1,25,residential,352172757,110408826,110371424,"LINESTRING (-122.6406603 37.9007377,-122.6403495 37.9008118,-122.6392956 37.9010103)"
509,227,119,5.1176825749358335,1,25,residential,352172758,110430661,3579373841,"LINESTRING (-122.638349 37.9011661,-122.6383509 37.9012121)"
510,119,227,5.1176825749358335,1,25,residential,352172758,3579373841,110430661,"LINESTRING (-122.6383509 37.9012121,-122.638349 37.9011661)"
511,119,147,132.70436911760785,1,25,residential,352172758,3579373841,3579373863,"LINESTRING (-122.6383509 37.9012121,-122.6383528 37.9018066,-122.6383685 37.9018685,-122.6384574 37.9021824,-122.6384627 37.9022334,-122.6384348 37.9023146,-122.6383929 37.9023862)"
512,147,119,132.70436911760785,1,25,residential,352172758,3579373863,3579373841,"LINESTRING (-122.6383929 37.9023862,-122.6384348 37.9023146,-122.6384627 37.9022334,-122.6384574 37.9021824,-122.6383685 37.9018685,-122.6383528 37.9018066,-122.6383509 37.9012121)"
